1	4T1	Breast; mammary gland	Mouse	Mimics human breast cancer; Stage IV	R10(w/o P/S)	Adherent	 	동물실험팀
31	KKK-D138H2	Biliary tract	Human	cholangiocarcinoma	D10	Adherent	JCRB	동물실험팀
32	KKU-100	Biliary tract	Human	cholangiocarcinoma	D10	Adherent	JCRB	동물실험팀
33	KKU-213	Biliary tract	Human	cholangiocarcinoma	D10	Adherent	JCRB	동물실험팀
34	KM12C	Colon	Human	Carcinoma, low metastatic	M10	Adherent	KCLB	동물실험팀
35	Lim1215_Parent	Colon; omental metastasis	Human	Adenocarcinoma	R10	Adherent	 	동물실험팀
36	Lim1215_R1	Colon; omental metastasis	Human	Adenocarcinoma	R10(+25 ug/ml Cetuximab)	Adherent	 	동물실험팀
37	Lim1215_R2	Colon; omental metastasis	Human	Adenocarcinoma	R10(+25 ug/ml Cetuximab)	Adherent	 	동물실험팀
38	LL/2(LLC1)	Lung	Mouse	Lewis lung carcinoma	D10 or D10(+2 mM L-glu)	Adherent and suspension	ATCC	동물실험팀
39	LNC	Cellosaurus	Mouse	Lymphoma	D10	Adherent	ATCC	동물실험팀
40	LS1034	Cecum	Human	Dukes' type C, colorectal carcinoma	R10	Adherent	ATCC	동물실험팀
41	LS411N	Cecum	Human	Dukes' type B, colorectal carcinoma	R10	Adherent	 	동물실험팀
42	LS513	Colon	Human	Carcinoma	R10	Adherent	KCLB	동물실험팀
43	MC38	Colon	Mouse	Colorectal carcinoma	D10(#LM001-01, +0.1 mM Non-essential amino acids, 1 mM Sodium pyruvate, 10 mM HEPES, 50 ug/ml Gentamycin sulfate and 2 mM glu)	Adherent	Kerafast	동물실험팀
44	ME-180	Cervix, Uterine	Human	Carcinoma; epidermoid; from metasistic site: omentum	R10	Adherent	KCLB	동물실험팀
45	MIA PaCa-2	Pancreas	Human	Carcinoma	D10(+2 mM L-glu)	Adherent	KCLB	동물실험팀
46	NCI-H1299	Lung	Human	NSCLC	R10	Adherent	 	동물실험팀
47	NCI-H1650	Lung	Human	Adenocarcinoma, NSCLC	R10	Adherent	 	동물실험팀
48	NCI-H1944	Lung (derived from soft tissue metastasis)	Human	Stage 3B, adenocarcinoma; NSCLC	R10(+25 mM HEPES)	Adherent	ATCC	동물실험팀
49	NCI-H2286	Lung	Human	SCLC	R10	Adherent	 	동물실험팀
50	NCI-H292	Lung	Human	NSCLC	R10	Adherent	KCLB	동물실험팀
51	NCI-H292_Clone5	Lung	Human	NSCLC	R10(+0.5 ug/ml Puromycin)	Adherent	 	동물실험팀
52	NCI-H292_CloneF	Lung	Human	NSCLC	R10(+200 ug/ml G418)	Adherent	 	동물실험팀
53	NCI-H292_Mock	Lung	Human	NSCLC	R10(+100 ug/ml G418)	Adherent	 	동물실험팀
54	NCI-H358	Lung	Human	NSCLC	R10	Adherent	 	동물실험팀
55	NCI-H417	Lung	Human	SCLC	R10	Suspension	 	동물실험팀
56	NCI-H460	Lung	Human	NSCLC	R10	Adherent	 	동물실험팀
57	NCI-H508	Colon	Human	Adenocarcinoma	R10	Floating aggregates of round cells with some attached cell	KCLB	동물실험팀
58	NCI-H69	Lung	Human	SCLC	R10	Suspension	 	동물실험팀
59	NCI-H716	Colon	Human	Adenocarcinoma	R10	Floating aggregates of round cells with some attached cell	KCLB	동물실험팀
60	NCI-H838	Lung (derived from lymph node metastasis)	Human	stage 3B, adenocarcinoma; NSCLC	R10	Adherent	 	동물실험팀
61	NIH/3T3_Parent	Fibroblast	Mouse	 	DBS10	Adherent	 	동물실험팀
62	PANC-1	Pancreas; Duct	Human	Epithelioid Carcinoma	D10	Adherent	KCLB	동물실험팀
63	Renca	Kidney	Mouse	Renal adenocarcinoma	R10(+0.1 mM Non-essential amino acids, 1 mM Sodium pyruvate and 2 mM L-glu)	Adherent	ATCC	동물실험팀
64	SCC-9	Tongue	Human	Carcinoma; Squamous Cell	Ham's F12+D10 (1:1)  Cf) Ham's F12 containing 1.2 g/L Sodium bicarbonate, 2.5 mM L-glu, 15 mM HEPES, 0.5 mM Sodium pyruvate (supplemented with 400 ng/ml Hydrocortisone, 90%)  and 10% FBS	Adherent	ATCC	동물실험팀
65	SK-Hep1	Liver	Human	Adenocarcinoma; ascites	D10(+2 mM L-glu)	Adherent	KCLB	동물실험팀
66	SK-LU-1	Lung	Human	Adenocarcinoma	D10	Adherent	 	동물실험팀
67	SK-MES-1	Lung	Human	Carcinoma, squamous cell; pleural effusion	D10(+2 mM L-glu)	Adherent	KCLB	동물실험팀
68	SKOV3_PaclitaxelR	Ovary; ascites	Human	Adenocarcinoma	McCoys050(+10% FBS and 100 nM Paclitaxel)	Adherent	 	동물실험팀
69	SKOV3_Parent	Ovary; ascites	Human	Adenocarcinoma	McCoys050(+10% FBS)	Adherent	 	동물실험팀
70	SNU-1047	Colon	Human	Carcinoma	R10	Adherent	KCLB	동물실험팀
71	SNU-449	Liver	Human	Carcinoma, hepatocellular; primary	R10	Adherent	 	동물실험팀
72	SNU-C1	Colon	Human	Adenocarcinoma	R10	Floating aggregates of round cell clusters	 	동물실험팀
73	SNU-C2A	Colon	Human	Adenocarcinoma	R10	Adherent	KCLB	동물실험팀
74	SW1417	Colon	Human	Dukes' type C, grade III, colorectal adenocarcinoma	R10	Adherent	ATCC	동물실험팀
75	SW48	Colon	Human	Dukes' type C, grade IV, colorectal adenocarcinoma	R10	Adherent	ATCC	동물실험팀
76	SW480	Colon	Human	Dukes' type B, colorectal carcinoma	R10	Adherent	ATCC	동물실험팀
77	SW480E	Colon	Human	Colorectal carcinoma	R10	Adherent	 	동물실험팀
78	SW620	Colon (derived from lymph node metastasis)	Human	Dukes' type C, colorectal carcinoma	R10	Adherent	ATCC	동물실험팀
79	T84	Colon (derived from lung metastasis)	Human	Colorectal carcinoma	D/F12(+5% FBS and 2.5 mM L-glu)	Adherent	 	동물실험팀
80	WiDr	Colon	Human	Adenocarcinoma	R10	Adherent	ATCC	동물실험팀
81	SNU-1196	Biliary tract	Human	biliary tract cancer, hepatic duct bifurcation	R10	Adherent	KCLB	동물실험팀
82	SNU-1411	Colon	Human	Adenocarcinoma	R10	Adherent	KCLB	동물실험팀
83	SNU-1460	Colon	Human	Adenocarcinoma	R10	Adherent	KCLB	동물실험팀
84	SNU-1684	Colon	Human	Adenocarcinoma	R10	Adherent	KCLB	동물실험팀
85	SNU-254	Biliary tract	Human	biliary tract cancer, common bile duct	R10	Adherent	KCLB	동물실험팀
86	SNU-308	Biliary tract	Human	biliary tract cancer, gall bladder	R10	Adherent	KCLB	동물실험팀
87	SNU-478	Biliary tract	Human	biliary tract cancer, ampulla of vater	R10	Adherent	KCLB	동물실험팀
88	SNU-70	Colon	Human	Adenocarcinoma	R10	Adherent	KCLB	동물실험팀
89	SNU-C1	Colon	Human	Adenocarcinoma	R10	Suspension	KCLB	동물실험팀
90	SNU-C2A	Colon	Human	Adenocarcinoma	R10	Adherent	KCLB	동물실험팀
91	SW1116	Colon	Human	Adenocarcinoma(stage3)	R10	Adherent	KCLB	동물실험팀
92	SW1417	Colon	Human	Carcinoma	R10	Adherent	ATCC, KCLB	동물실험팀
93	SW1463	Colon	Human	Carcinoma	R10	Adherent	KCLB	동물실험팀
94	SW403	Colon	Human	Adenocarcinoma(stage3)	R10	Adherent	ATCC, KCLB	동물실험팀
95	SW480	Colon	Human	Adenocarcinoma	R10	Adherent	ATCC	동물실험팀
96	SW480E	Colon	Human	Carcinoma	R10	Adherent	KCLB	동물실험팀
97	SW620	Colon	Human	Dukes' type C, colorectal carcinoma	R10	Adherent	ATCC	동물실험팀
98	SW837	Colon	Human	Carcinoma	R10	Adherent	KCLB	동물실험팀
99	T84	Colon	Human	Colorectal carcinoma	D/F12(+5% FBS)	Adherent	ATCC	동물실험팀
100	TFK-1	Bile duct	Human	papillary adenocarcinoma	R10(+25mM HEPES)(-P/S)	Adherent	RIKEN RCB	동물실험팀
101	TGBCI-TKB	Gallbladder	Human	gallbadder carcinoma	D5(-P/S)	Adherent	RIKEN RCB	동물실험팀
102	THP-1	Peripheral blood	Human	Acute monocytic leukemia	R10(-P/S)	Suspension	 	동물실험팀
103	UPCI:SCC090	Tongue	Human	Squamous Cell Carcinoma	E10(ATCC)	Adherent	ATCC	동물실험팀
104	WiDr	Colon	Human	Adenocarcinoma	D10	Adherent	ATCC, KCLB	동물실험팀
105	YSCCC	Liver	Human	cholangiocellular carcinoma	R10(+25mM HEPES)	Adherent	RIKEN RCB	동물실험팀
106	293T	Kidney	Human	 	D10(+L-glu)	Adherent	 	in vitro 1팀
107	Calu6	probably lung	Human	Anaplastic carcinoma	R10	Adherent	KCLB	in vitro 1팀
108	Colo320HSR	Colon	Human	Dukes' type C, colorectal adenocarcinoma	R10	Mix	KCLB	in vitro 1팀
109	CT26	Colon	Mouse	Carcinoma	D10	Adherent	KCLB	in vitro 1팀
110	CT26 mCMG-C10	Colon	Mouse	Carcinoma	D10(+G418 400ug/ml)	Adherent	 	in vitro 1팀
111	CT26 mCMG-C20	Colon	Mouse	Carcinoma	D10(+G418 400ug/ml)	Adherent	 	in vitro 1팀
112	CT26 mCMG-C9	Colon	Mouse	Carcinoma	D10(+G418 400ug/ml)	Adherent	 	in vitro 1팀
113	DLD-1	Colon	Human	Dukes' type C, colorectal adenocarcinoma	R10	Adherent	 	in vitro 1팀
114	H2170	Lung	Human	squamous cell carcinoma	R10	Adherent	ATCC	in vitro 1팀
115	H292	Lung	Human	Carcinoma,mucoepidermoid	R10(+G418 200ug/ml)	Adherent	KCLB	in vitro 1팀
116	H292 Mock	Lung	Human	Carcinoma,mucoepidermoid	R10(+G418 100ug/ml)	Adherent	 	in vitro 1팀
117	H292 cloneF	Lung	Human	Carcinoma,mucoepidermoid	R10(+G418 200ug/ml)	Adherent	 	in vitro 1팀
118	HCT116	Colon	Human	Colorectal carcinoma	Mc10	Adherent	ATCC	in vitro 1팀
119	HCT116 p53 -/-	Colon	Human	Colorectal carcinoma	R10	Adherent	 	in vitro 1팀
120	HCT116 p53 wt	Colon	Human	Colorectal carcinoma	R10	Adherent	 	in vitro 1팀
121	HCT116-CEACAM1-C20	Colon	Human	Colorectal carcinoma	R10(+G418 100ug/ml)	Adherent	 	in vitro 1팀
122	HCT116-Mock-C3	Colon	Human	Colorectal carcinoma	R10(+G418 100ug/ml)	Adherent	 	in vitro 1팀
123	HEK293 CMG-C5	Kidney	Human	 	M10(+G418 100ug/ml)	Adherent	 	in vitro 1팀
124	HT29	Colon	Human	Colorectal adenocarcinoma	R10	Adherent	ATCC	in vitro 1팀
125	Jurkat(E6-1)	Peripheral blood	Human	acute T cell leukemia	R10	Suspension (aggregates)	ATCC	in vitro 1팀
126	KM12SM	Colon	Human	carcinoma	R10	Adherent	KCLB	in vitro 1팀
127	MDA-MB-231	Breast	Human	adenocarcinoma; pleural effusion	R10	Adherent	KCLB	in vitro 1팀
128	MKN28	Gastric	Human	Gastric tubular adenocarcinoma	R10	Adherent	 	in vitro 1팀
129	NCI-H1792	Lung	Human	Adenocarcinoma, Stage4	R10	Adherent	ATCC	in vitro 1팀
130	NCI-H1975	Lung	Human	Adenocarcinoma, NSCLC	R10	Adherent	 	in vitro 1팀
131	NCI-H2030	Lung	Human	NSCLC(adenocarcinoma)	R10	Adherent	ATCC	in vitro 1팀
132	NCI-H460	Lung	Human	large cell carcinoma	R10	Adherent	KCLB	in vitro 1팀
133	SK-BR-3	Breast	Human	adenocarcinoma	Mc10	Adherent	 	in vitro 1팀
134	SM-MES-1	Lung	Human	squamous cell carcinoma	D10(+L-glu)	Adherent	KCLB	in vitro 1팀
135	SNU-1047	Colon	Human	Adenocarcinoma	R10	Adherent	 	in vitro 1팀
136	SNU-182	Liver	Human	Carcinoma, hepatocellular; primary	R10	Adherent	 	in vitro 1팀
137	SNU-308	Biliary tract	Human	Biliary tract cancer, gall bladder	R10	Adherent	 	in vitro 1팀
138	SNU-878	Liver	Human	Hepatocellular carcinoma	R10	Adherent	 	in vitro 1팀
139	SW1573	Lung	Human	Carcinoma, Alveolar cell	L15	Adherent	ATCC	in vitro 1팀
140	SW480	Colon	Human	adenocarcinoma	R10	Adherent	ATCC	in vitro 1팀
141	SW620	colon	Human	Dukes' type C, colorectal carcinoma	R10	Adherent	ATCC	in vitro 1팀
142	U937	Monocyte	Human	 	R10	Suspension	KCLB	in vitro 1팀
143	WiDr	Colon	Human	adenocarcinoma	E10	Adherent	ATCC	in vitro 1팀
